Date,Price
1/30/2011,1.38
1/31/2011,1.38
2/1/2011,1.4
2/2/2011,1.47
2/3/2011,1.46
2/6/2011,1.48
2/7/2011,1.46
2/8/2011,1.44
2/9/2011,1.43
2/10/2011,1.42
2/13/2011,1.45
2/14/2011,1.43
2/15/2011,1.44
2/16/2011,1.42
2/20/2011,1.37
2/21/2011,1.32
2/22/2011,1.23
2/23/2011,1.27
2/24/2011,1.26
2/27/2011,1.26
2/28/2011,1.21
3/1/2011,1.23
3/2/2011,1.17
3/3/2011,1.11
3/6/2011,1.16
3/7/2011,1.12
3/8/2011,1.17
3/9/2011,1.2
3/10/2011,1.23
3/13/2011,1.31
3/14/2011,1.26
3/15/2011,1.19
3/16/2011,1.2
3/17/2011,1.23
3/20/2011,1.3
3/21/2011,1.29
3/22/2011,1.31
3/23/2011,1.34
3/24/2011,1.35
3/27/2011,1.32
3/28/2011,1.32
3/29/2011,1.29
3/30/2011,1.28
3/31/2011,1.31
4/3/2011,1.31
4/4/2011,1.3
4/5/2011,1.28
4/6/2011,1.31
4/7/2011,1.31
4/10/2011,1.31
4/11/2011,1.31
4/12/2011,1.35
4/13/2011,1.35
4/14/2011,1.36
4/17/2011,1.43
4/18/2011,1.43
4/19/2011,1.4
4/20/2011,1.45
4/21/2011,1.46
4/24/2011,1.42
4/25/2011,1.38
4/26/2011,1.34
4/27/2011,1.36
4/28/2011,1.37
5/1/2011,1.35
5/2/2011,1.35
5/3/2011,1.34
5/4/2011,1.32
5/5/2011,1.33
5/8/2011,1.31
5/9/2011,1.27
5/10/2011,1.32
5/11/2011,1.29
5/12/2011,1.27
5/15/2011,1.25
5/16/2011,1.22
5/17/2011,1.26
5/18/2011,1.25
5/19/2011,1.26
5/22/2011,1.25
5/23/2011,1.2
5/24/2011,1.21
5/25/2011,1.19
5/26/2011,1.2
5/29/2011,1.22
5/30/2011,1.2
5/31/2011,1.24
6/1/2011,1.24
6/2/2011,1.22
6/5/2011,1.21
6/6/2011,1.21
6/7/2011,1.21
6/8/2011,1.19
6/9/2011,1.19
6/12/2011,1.19
6/13/2011,1.2
6/14/2011,1.21
6/15/2011,1.27
6/16/2011,1.29
6/19/2011,1.31
6/20/2011,1.25
6/21/2011,1.29
6/22/2011,1.22
6/23/2011,1.18
6/26/2011,1.16
6/27/2011,1.18
6/28/2011,1.15
6/29/2011,1.17
7/3/2011,1.21
7/4/2011,1.2
7/5/2011,1.21
7/6/2011,1.19
7/7/2011,1.2
7/10/2011,1.21
7/11/2011,1.19
7/12/2011,1.18
7/13/2011,1.19
7/14/2011,1.18
7/17/2011,1.18
7/18/2011,1.16
7/19/2011,1.15
7/20/2011,1.15
7/21/2011,1.15
7/24/2011,1.15
7/25/2011,1.16
7/26/2011,1.15
7/27/2011,1.15
7/28/2011,1.14
7/31/2011,1.16
8/1/2011,1.17
8/2/2011,1.17
8/3/2011,1.16
8/4/2011,1.19
8/7/2011,1.13
8/8/2011,1.12
8/9/2011,1.11
8/10/2011,1.13
8/11/2011,1.11
8/14/2011,1.12
8/15/2011,1.12
8/16/2011,1.12
8/17/2011,1.12
8/18/2011,1.13
8/21/2011,1.11
8/22/2011,1.12
8/23/2011,1.13
8/24/2011,1.12
8/25/2011,1.15
8/28/2011,1.16
8/29/2011,1.15
9/4/2011,1.14
9/5/2011,1.14
9/6/2011,1.14
9/7/2011,1.14
9/8/2011,1.16
9/11/2011,1.15
9/12/2011,1.13
9/13/2011,1.12
9/14/2011,1.13
9/15/2011,1.14
9/18/2011,1.14
9/19/2011,1.12
9/20/2011,1.13
9/21/2011,1.14
9/22/2011,1.13
9/25/2011,1.1
9/26/2011,1.1
9/27/2011,1.09
9/28/2011,1.09
9/29/2011,1.08
10/2/2011,1.08
10/3/2011,1.06
10/4/2011,1.03
10/5/2011,1.03
10/6/2011,1.03
10/9/2011,1.04
10/10/2011,1.02
10/11/2011,1.01
10/12/2011,1.02
10/13/2011,1.02
10/16/2011,0.981
10/17/2011,0.99
10/18/2011,0.962
10/19/2011,0.983
10/20/2011,0.989
10/23/2011,0.989
10/24/2011,0.97
10/25/2011,0.979
10/26/2011,0.969
10/27/2011,1
10/30/2011,1.04
10/31/2011,1.03
11/1/2011,0.993
11/2/2011,1
11/3/2011,1
11/9/2011,1
11/10/2011,0.989
11/13/2011,0.993
11/14/2011,0.982
11/15/2011,0.976
11/16/2011,0.98
11/17/2011,0.971
11/20/2011,0.945
11/21/2011,0.904
11/22/2011,0.9
11/23/2011,0.901
11/24/2011,0.902
11/27/2011,0.895
11/28/2011,0.94
11/29/2011,0.95
11/30/2011,0.957
12/4/2011,0.972
12/5/2011,0.97
12/6/2011,0.95
12/7/2011,0.95
12/8/2011,0.945
12/11/2011,0.959
12/12/2011,0.94
12/13/2011,0.943
12/14/2011,0.93
12/15/2011,0.893
12/18/2011,0.881
12/19/2011,0.875
12/20/2011,0.864
12/21/2011,0.85
12/22/2011,0.851
12/25/2011,0.847
12/26/2011,0.83
12/27/2011,0.83
12/28/2011,0.84
12/29/2011,0.84
1/2/2012,0.833
1/3/2012,0.842
1/4/2012,0.84
1/5/2012,0.84
1/8/2012,0.816
1/9/2012,0.798
1/10/2012,0.798
1/11/2012,0.772
1/12/2012,0.761
1/15/2012,0.753
1/16/2012,0.678
1/17/2012,0.707
1/18/2012,0.743
1/19/2012,0.714
1/22/2012,0.72
1/23/2012,0.725
1/24/2012,0.733
1/25/2012,0.795
1/26/2012,0.8
1/29/2012,0.784
1/30/2012,0.78
1/31/2012,0.81
2/1/2012,0.821
2/2/2012,0.8
2/5/2012,0.823
2/6/2012,0.82
2/7/2012,0.806
2/8/2012,0.822
2/9/2012,0.821
2/12/2012,0.838
2/13/2012,0.855
2/14/2012,0.876
2/15/2012,0.849
2/16/2012,0.841
2/19/2012,0.9
2/20/2012,0.903
2/21/2012,0.925
2/22/2012,0.92
2/23/2012,0.919
2/26/2012,0.997
2/27/2012,0.955
2/28/2012,0.999
2/29/2012,1.07
3/1/2012,1.04
3/4/2012,1.19
3/5/2012,1.24
3/6/2012,1.16
3/7/2012,1.05
3/8/2012,1.13
3/11/2012,1.24
3/12/2012,1.2
3/13/2012,1.23
3/14/2012,1.22
3/15/2012,1.18
3/18/2012,1.14
3/19/2012,1.15
3/20/2012,1.12
3/21/2012,1.15
3/22/2012,1.16
3/25/2012,1.14
3/26/2012,1.14
3/27/2012,1.12
3/28/2012,1.17
3/29/2012,1.15
4/1/2012,1.18
4/2/2012,1.16
4/3/2012,1.23
4/4/2012,1.21
4/5/2012,1.21
4/8/2012,1.21
4/9/2012,1.17
4/10/2012,1.21
4/11/2012,1.2
4/12/2012,1.19
4/15/2012,1.16
4/16/2012,1.14
4/17/2012,1.15
4/18/2012,1.14
4/19/2012,1.15
4/22/2012,1.16
4/23/2012,1.13
4/24/2012,1.18
4/25/2012,1.14
4/26/2012,1.13
4/29/2012,1.13
4/30/2012,1.13
5/1/2012,1.12
5/2/2012,1.12
5/3/2012,1.1
5/6/2012,1.07
5/7/2012,1.09
5/8/2012,1.05
5/9/2012,1.03
5/10/2012,1.01
5/13/2012,0.984
5/14/2012,0.97
5/15/2012,0.971
5/16/2012,0.932
5/17/2012,0.959
5/20/2012,0.955
5/21/2012,0.972
5/22/2012,0.99
5/23/2012,0.975
5/24/2012,0.971
5/27/2012,0.969
5/28/2012,0.968
5/29/2012,0.95
5/30/2012,0.96
5/31/2012,0.945
6/3/2012,0.913
6/4/2012,0.917
6/5/2012,0.931
6/6/2012,0.94
6/7/2012,0.953
6/10/2012,0.96
6/11/2012,0.974
6/12/2012,0.955
6/13/2012,0.96
6/14/2012,0.96
6/18/2012,0.963
6/19/2012,0.977
6/20/2012,0.963
6/21/2012,0.957
6/24/2012,0.946
6/25/2012,0.96
6/26/2012,0.95
6/27/2012,0.943
6/28/2012,0.938
7/1/2012,0.948
7/2/2012,0.944
7/3/2012,0.988
7/4/2012,0.98
7/5/2012,0.995
7/8/2012,0.984
7/9/2012,0.975
7/10/2012,0.967
7/11/2012,0.957
7/12/2012,0.957
7/15/2012,0.968
7/16/2012,0.973
7/17/2012,0.994
7/18/2012,0.993
7/19/2012,0.989
7/22/2012,0.976
7/23/2012,0.963
7/24/2012,0.974
7/25/2012,0.97
7/26/2012,0.966
7/29/2012,0.97
7/30/2012,0.988
7/31/2012,0.977
8/1/2012,0.985
8/2/2012,0.985
8/5/2012,1
8/6/2012,0.989
8/7/2012,0.982
8/8/2012,0.978
8/9/2012,0.985
8/12/2012,0.985
8/13/2012,0.986
8/14/2012,0.986
8/15/2012,0.985
8/16/2012,0.995
8/22/2012,0.989
8/23/2012,0.99
8/26/2012,0.986
8/27/2012,0.97
8/28/2012,0.962
8/29/2012,0.97
8/30/2012,0.946
9/2/2012,0.95
9/3/2012,0.947
9/4/2012,0.946
9/5/2012,0.946
9/6/2012,0.951
9/9/2012,0.962
9/10/2012,0.954
9/11/2012,0.953
9/12/2012,0.966
9/13/2012,0.96
9/16/2012,1.02
9/17/2012,0.99
9/18/2012,0.995
9/19/2012,1.04
9/20/2012,1.02
9/23/2012,0.993
9/24/2012,0.992
9/25/2012,0.993
9/26/2012,0.971
9/27/2012,0.969
9/30/2012,0.975
10/1/2012,1.02
10/2/2012,1
10/3/2012,1.01
10/4/2012,1.03
10/7/2012,1.08
10/8/2012,1.07
10/9/2012,1.07
10/10/2012,1.06
10/11/2012,1.07
10/14/2012,1.06
10/15/2012,1.08
10/16/2012,1.09
10/17/2012,1.09
10/18/2012,1.08
10/21/2012,1.08
10/22/2012,1.09
10/23/2012,1.08
10/24/2012,1.06
10/29/2012,1.05
10/30/2012,1.04
10/31/2012,1.01
11/1/2012,1.03
11/4/2012,1.02
11/5/2012,1.03
11/6/2012,1.02
11/7/2012,1.01
11/8/2012,1.02
11/11/2012,1.01
11/12/2012,1.02
11/13/2012,1
11/14/2012,1.01
11/18/2012,0.985
11/19/2012,0.98
11/20/2012,0.976
11/21/2012,0.977
11/22/2012,0.986
11/25/2012,0.995
11/26/2012,0.979
11/27/2012,0.98
11/28/2012,0.985
11/29/2012,0.993
12/4/2012,0.995
12/5/2012,0.988
12/6/2012,0.988
12/9/2012,0.986
12/10/2012,0.988
12/11/2012,0.983
12/12/2012,0.989
12/13/2012,0.988
12/16/2012,0.983
12/17/2012,0.985
12/18/2012,0.985
12/19/2012,0.986
12/20/2012,0.995
12/23/2012,0.99
12/24/2012,0.986
12/25/2012,0.983
12/26/2012,0.984
12/27/2012,1.02
12/30/2012,1.04
12/31/2012,1.02
1/2/2013,1.06
1/3/2013,1.06
1/6/2013,1.07
1/7/2013,1.06
1/8/2013,1.09
1/9/2013,1.11
1/10/2013,1.15
1/13/2013,1.12
1/14/2013,1.15
1/15/2013,1.14
1/16/2013,1.16
1/17/2013,1.23
1/20/2013,1.24
1/21/2013,1.25
1/22/2013,1.24
1/23/2013,1.25
1/27/2013,1.28
1/28/2013,1.25
1/29/2013,1.28
1/30/2013,1.27
1/31/2013,1.28
2/3/2013,1.23
2/4/2013,1.24
2/5/2013,1.23
2/6/2013,1.22
2/7/2013,1.21
2/10/2013,1.26
2/11/2013,1.24
2/12/2013,1.23
2/13/2013,1.24
2/14/2013,1.22
2/17/2013,1.2
2/18/2013,1.2
2/19/2013,1.2
2/20/2013,1.22
2/21/2013,1.22
2/24/2013,1.22
2/25/2013,1.23
2/26/2013,1.21
2/27/2013,1.23
2/28/2013,1.21
3/3/2013,1.21
3/4/2013,1.18
3/5/2013,1.15
3/6/2013,1.15
3/7/2013,1.13
3/10/2013,1.16
3/11/2013,1.16
3/12/2013,1.18
3/13/2013,1.16
3/14/2013,1.15
3/17/2013,1.16
3/18/2013,1.14
3/19/2013,1.14
3/20/2013,1.13
3/21/2013,1.13
3/24/2013,1.12
3/25/2013,1.12
3/26/2013,1.09
3/27/2013,1.07
3/28/2013,1.09
3/31/2013,1.06
4/1/2013,1.06
4/2/2013,1.07
4/3/2013,1.08
4/4/2013,1.09
4/7/2013,1.08
4/8/2013,1.11
4/9/2013,1.13
4/10/2013,1.15
4/11/2013,1.17
4/14/2013,1.16
4/15/2013,1.16
4/16/2013,1.13
4/17/2013,1.13
4/18/2013,1.13
4/21/2013,1.14
4/22/2013,1.15
4/23/2013,1.17
4/24/2013,1.16
4/25/2013,1.2
4/28/2013,1.22
4/29/2013,1.22
4/30/2013,1.25
5/1/2013,1.23
5/2/2013,1.22
5/5/2013,1.27
5/6/2013,1.29
5/7/2013,1.34
5/8/2013,1.37
5/9/2013,1.34
5/12/2013,1.34
5/13/2013,1.33
5/14/2013,1.36
5/15/2013,1.37
5/16/2013,1.37
5/19/2013,1.4
5/20/2013,1.38
5/21/2013,1.35
5/22/2013,1.35
5/23/2013,1.33
5/26/2013,1.32
5/27/2013,1.36
5/28/2013,1.47
5/29/2013,1.5
5/30/2013,1.63
6/2/2013,1.87
6/3/2013,1.85
6/4/2013,1.96
6/5/2013,2.03
6/9/2013,1.99
6/10/2013,1.92
6/11/2013,1.93
6/12/2013,1.98
6/13/2013,2.01
6/16/2013,1.94
6/17/2013,1.96
6/18/2013,1.96
6/19/2013,1.93
6/20/2013,1.9
6/23/2013,1.79
6/24/2013,1.73
6/25/2013,1.78
6/26/2013,1.72
6/27/2013,1.73
6/30/2013,1.71
7/1/2013,1.79
7/2/2013,1.75
7/3/2013,1.77
7/4/2013,1.76
7/7/2013,1.74
7/8/2013,1.82
7/9/2013,1.84
7/10/2013,1.86
7/11/2013,1.86
7/14/2013,1.92
7/15/2013,1.92
7/16/2013,1.9
7/17/2013,1.99
7/18/2013,1.98
7/21/2013,2.07
7/22/2013,1.99
7/23/2013,2
7/24/2013,1.94
7/25/2013,1.95
7/28/2013,1.92
7/29/2013,1.93
7/30/2013,1.97
7/31/2013,2
8/1/2013,2.01
8/4/2013,2.01
8/5/2013,2.08
8/6/2013,2.12
8/11/2013,2.14
8/12/2013,2.07
8/13/2013,2.09
8/14/2013,2.08
8/15/2013,2.05
8/18/2013,2.02
8/19/2013,2.07
8/20/2013,2.05
8/21/2013,2.05
8/22/2013,2.09
8/25/2013,2.09
8/26/2013,2.11
8/27/2013,1.9
8/28/2013,1.83
8/29/2013,1.8
9/1/2013,1.9
9/2/2013,1.88
9/3/2013,1.79
9/4/2013,1.68
9/5/2013,1.59
9/8/2013,1.59
9/9/2013,1.52
9/10/2013,1.74
9/11/2013,1.8
9/12/2013,1.8
9/15/2013,2
9/16/2013,1.97
9/17/2013,1.94
9/18/2013,1.94
9/19/2013,1.98
9/22/2013,1.97
9/23/2013,1.95
9/24/2013,1.98
9/25/2013,1.98
9/26/2013,1.99
9/29/2013,2.05
9/30/2013,2.05
